StadiumID,_Name,Capacity,_Location,GeoLat,GeoLong,Active
1,Honda Center,17174.0,2695 E. Katella Ave.-Anaheim-CA-92806-USA,33.807778,-117.876667,True
2,Desert Diamond Arena,17125.0,9400 W. Maryland Ave.-Glendale-AZ-85305-USA,33.531944,-112.261111,True
3,TD Garden,17565.0,100 Legends Way-Boston-MA-2114-USA,42.366303,-71.062228,True
4,KeyBank Center,18690.0,One Seymour H. Knox III Plaza-Buffalo-NY-14203-USA,42.875,-78.876389,True
5,PNC Arena,18680.0,1400 Edwards Mill Road-Raleigh-NC-27607-USA,35.803333,-78.721944,True
6,Nationwide Arena,18144.0,200 W. Nationwide Blvd.-Columbus-OH-43215-USA,39.969283,-83.006111,True
7,Scotiabank Saddledome,19289.0,555 Saddledome Rise S.E.-Calgary-AB-T2G 2W1-CAN,51.0375,-114.051944,True
8,United Center,19717.0,1901 W. Madison St.-Chicago-IL-60612-USA,41.880556,-87.674167,True
9,Ball Arena,18007.0,1000 Chopper Circle-Denver-CO-80204-USA,39.748611,-105.0075,True
10,American Airlines Center,18532.0,2500 Victory Ave.-Dallas-TX-75219-USA,32.790556,-96.810278,True
11,Little Caesars Arena,20491.0,2645 Woodward Ave-Detroit-MI-48201-USA,42.551262,-83.217862,True
12,Rogers Place,16839.0,7424 118th Avenue-Edmonton-AB-T5B 4M9-CAN,53.571389,-113.456111,True
13,FLA Live Arena,17040.0,One Panther Parkway-Sunrise-FL-33323-USA,26.158333,-80.325556,True
14,Crypto.com Arena,18997.0,1111 S. Figueroa St.-Los Angeles-CA-90015-USA,34.043056,-118.267222,True
15,Xcel Energy Center,18064.0,199 W. Kellogg Blvd.-St. Paul-MN-55102-USA,44.944722,-93.101111,True
16,Bell Centre,21273.0,1909 Avenue des Canadiens-de-Montreal-Montreal-QC-H3B 5E8-CAN,45.496111,-73.569444,True
17,Bridgestone Arena,17113.0,501 Broadway-Nashville-TN-37203-USA,36.159167,-86.778611,True
18,Prudential Center,17625.0,165 Mulberry St.-Newark-NJ-7102-USA,40.733611,-74.171111,True
19,Barclays Center,15813.0,620 Atlantic Ave.-Brooklyn-NY-11217-USA,40.682661,-73.975225,True
20,Madison Square Garden,18200.0,Four Pennsylvania Plaza-New York-NY-10001-USA,40.750556,-73.993611,True
21,Canadian Tire Centre,19153.0,1000 Palladium Drive-Ottawa-ON-K2V 1A5-CAN,45.296944,-75.927222,True
22,Wells Fargo Center,19537.0,3601 S. Broad St.-Philadelphia-PA-19148-USA,39.901111,-75.171944,True
23,PPG Paints Arena,18387.0,1001 Fifth Ave.-Pittsburgh-PA-15219-USA,40.439444,-79.989167,True
24,SAP Center,17562.0,525 W. Santa Clara St.-San Jose-CA-95113-USA,37.332778,-121.901111,True
25,Enterprise Center,19150.0,1401 Clark Ave.-St. Louis-MO-63103-USA,38.626667,-90.2025,True
26,Amalie Arena,19204.0,401 Channelside Drive-Tampa-FL-33602-USA,27.942778,-82.451944,True
27,Scotiabank Arena,18819.0,40 Bay St.-Toronto-ON-M5J 2X2-CAN,43.643333,-79.379167,True
28,Rogers Arena,18890.0,800 Griffiths Way-Vancouver-BC-V6B 6G1-CAN,49.277778,-123.108889,True
29,Capital One Arena,18506.0,601 F St. N.W.-Washington-DC-20004-USA,38.898056,-77.020833,True
30,Canada Life Centre,15015.0,300 Portage Ave.-Winnipeg-MB-R3C 5S5-CAN,49.892778,-97.143611,True
31,T-Mobile Arena,17500.0,3780 S. Las Vegas Blvd.-Las Vegas-NV-89158-USA,36.102778,-115.178333,True
41,Avicii Arena,13850.0,121 77-Stockholm---Sweden,59.293556,18.083236,True
42,Cotton Bowl,92000.0,1300 Robert B. Cullum Blvd. -Dallas-TX--USA,32.779722,-96.759722,True
43,Climate Pledge Arena,17459.0,305 Harrison St-Seattle-WA-98109-USA,47.622,-122.354,True
45,Nissan Stadium,69143.0,1 Titans Way-Nashville-TN-37213-USA,36.166389,-86.771389,True
46,Target Field,39021.0,1 Twins Way-Minneapolis-MN-55403-USA,44.981667,-93.278333,True
47,Webster Bank Arena,10000.0,600 Main Street-Bridgeport-CT-06604-USA,41.1732,-73.187,True
48,UBS Arena,17113.0,2150 Hempstead Turnpike-Elmont-NY-11003-USA,40.712094,-73.727157,True
51,Abbotsford Centre,7000.0,33800 King Rd-Abbotsford-BC-V2S 8H8-Canada,49.030665,-122.287145,True
53,Spokane Veterans Memorial Arena,12638.0,720 W Mallon Ave-Spokane-WA-99201-USA,47.666,-117.423,True
54,Delta Center,18300.0,301 S Temple-Salt Lake City-UT-84101-USA,40.768333,-111.901111,True
55,Angel of the Winds Arena,10000.0,2000 Hewitt Avenue-Everett-WA-98201-USA,47.978611,-122.203611,True
56,Cable Dahmer Arena,5800.0,19100 E Valley View Pkwy-Independence-MO-64005-USA,0.0,0.0,True
57,accesso ShoWare Center,6500.0,625 W James St-Kent-WA-98032-USA,0.0,0.0,True
58,El Paso County Coliseum,6500.0,4100 East Paisano Street-El Paso-TX-79905-USA,0.0,0.0,True
59,Amway Center,20000.0,400 W Church St-Orlando-FL-32801-USA,28.539167,-81.383611,True
60,Tim Hortons Field,23218.0,64 Melrose Ave N-Hamilton-ON-L8L 8C1-Canada,43.252114,-79.8301,True
61,Mullett Arena,5000.0,411 S. Packard Dr.-Tempe-AZ-85281-USA,33.426667,-111.928611,True
62,Fenway Park,37305.0,4 Jersey Street-Boston-MA-02215-USA,42.34625,-71.09775,False
63,Carter-Finley Stadium,57583.0,4600 Trinity Rd-Raleigh-NC-27607-USA,0.0,0.0,True
64,Nokia Arena,13455.0,Sorinkatu 3-Tampere---Finland,61.493952,23.772955,True
65,Intrust Bank Arena,13450.0,500 E Waterman St-Wichita-KS-67202-USA,37.683056,-97.331389,False
66,Tucson Convention Center Arena,6791.0,260 S Church Ave-Tucson-AZ-85701-USA,32.218333,-110.974167,False
67,BOK Center,17096.0,200 S Denver Ave-Tulsa-OK-74103-USA,36.152722,-95.996333,False
68,Toyota Arena,9736.0,4000 E Ontario Center Pkwy-Ontario-CA--USA,34.072947,-117.566401,False
69,CAA Arena,4365.0,265 Canifton Rd-Belleville-ON-K8N 4V8-Canada,44.188611,-77.382778,False
70,Fiserv Forum,15178.0,1111 Vel R. Phillips Ave-Milwaukee-WI-53203-USA,43.045028,-87.918167,False
72,Idaho Central Arena,5002.0,233 S Capitol Blvd-Boise-ID-83702-USA,43.614,-116.204,False
74,Rod Laver Arena,14820.0,Olympic Blvd-Melbourne-Victoria-3001-Australia,-37.821667,144.978333,False
75,H-E-B Center at Cedar Park,8000.0,2100 Ave of the Stars-Cedar Park-TX-78613-USA,30.5414,-97.8202,False
77,Acrisure Arena,9918.0,75702 Varner Road-Palm Desert-CA-92211-USA,33.779167,-116.338889,False
78,Pechanga Arena,14600.0,3500 Sports Arena Blvd-San Diego-CA-92110-USA,32.755278,-117.212222,False
79,MetLife Stadium,82500.0,1 MetLife Stadium Dr-East Rutherford-NJ-07073-USA,40.813528,-74.074361,True
80,T-Mobile Park,47929.0,1250 1st Ave S-Seattle-WA-98134-USA,47.591358,-122.333,True
81,Commonwealth Stadium,56302.0,11000 Stadium Rd-Edmonton-AB-AB T5H 4E2-Canada,53.558333,-113.475,True
82,Centre 200,5000.0,481 George St-Sydney-NS-B1P 1K5-Canada,46.1375,-60.190278,False
83,Scotiabank Centre,11093.0,1800 Argyle St-Halifax-NS-B3J 2V9-Canada,44.648333,-63.576667,False
